اسم المستشفى,العنوان التفصيلي,خط العرض,خط الطول,التخصص,رقم التليفون,الموقع الإلكتروني
مستشفى العباسية للصحة النفسية وعلاج الإدمان,طريق صلاح سالم، بجوار أرض المعارض، العباسية، القاهرة,30.043487,31.235291,نفسية وإدمان,02-22606626,غير متوفر
مستشفى صدر العباسية,شارع السكة البيضاء، العباسية، القاهرة,30.054472,31.277543,أمراض صدرية,02-23423714,غير متوفر
مستشفى حميات العباسية,شارع السكة البيضاء، العباسية، القاهرة,30.054472,31.277543,حميات وأمراض معدية,02-23424163,غير متوفر
مستشفى القاهرة الفاطمية,شارع الشيخ صالح الجعفري، الدراسة، القاهرة,30.047357,31.270038,عام,02-25884941,غير متوفر
مستشفى المنيرة العام,شارع نوبار، السيدة زينب، القاهرة,30.035045,31.238728,عام,02-27943003,غير متوفر
مستشفى شبرا العام (كتشنر),شارع شبرا الرئيسي، شبرا، القاهرة,30.07347,31.253127,عام,02-22340578,غير متوفر
مستشفى حلوان العام,شارع منصور، حلوان، القاهرة,29.84771,31.342227,عام,02-25562725,غير متوفر
مستشفى 15 مايو التخصصي,المجاورة الثالثة، مدينة 15 مايو، القاهرة,29.850815,31.366965,عام,02-25501007,غير متوفر
مستشفى القاهرة الجديدة العام,التجمع الأول، بجوار خدمات الحي، القاهرة الجديدة,29.953502,31.658008,عام,02-27588320,غير متوفر
مستشفى الشيخ زايد آل نهيان,منطقة الدويقة، منشأة ناصر، القاهرة,30.049836,31.287906,عام,02-23420808,غير متوفر
مستشفى البنك الأهلي المصري للرعاية المتكاملة,الطريق الدائري، حي المقطم، القاهرة,30.013675,31.286403,عام وتخصصي,02-25032500,nbe-hospital.com
مستشفى المقطم للتأمين الصحي,هضبة المقطم، القاهرة,30.011114,31.291213,عام (تأمين صحي),02-25081223,غير متوفر
المستشفى القبطي,175 شارع رمسيس، وسط البلد، القاهرة,30.063225,31.252642,عام,02-25913222,غير متوفر
مستشفى هليوبوليس,3 شارع حامد باشا البرنشاوي، ميدان الحجاز، مصر الجديدة، القاهرة,30.106416,31.336485,عام,02-26233481,غير متوفر
مستشفى مبرة المعادي,6 شارع سكنات المعادي، المعادي، القاهرة,29.953636,31.260821,عام,02-23803157,غير متوفر
مؤسسة مجدي يعقوب للقلب (مركز القاهرة),محور مدينة زويل، القاهرة الكبرى,30.079317,31.254143,قلب وأوعية دموية,19731,myf-egypt.org
المجمع الطبي للقوات المسلحة بالمعادي,طريق كورنيش النيل، المعادي، القاهرة,30.043487,31.235291,عام وعسكري,02-25256348,غير متوفر
مستشفى الجوي التخصصي بالتجمع الخامس,شارع التسعين الشمالي، التجمع الخامس، القاهرة الجديدة,30.021437,31.431597,عام وعسكري,19448,airforcehospital.com
المركز الطبي العالمي (IMC),الكيلو 42 طريق مصر الإسماعيلية الصحراوي، القاهرة,30.043487,31.235291,عام وتخصصي,16221,imc.org.eg
مستشفى كليوباترا بمصر الجديدة,39 شارع كليوباترا، ميدان صلاح الدين، مصر الجديدة، القاهرة,30.094501,31.327599,عام وتخصصي,19005,cleopatrahospitals.com
المستشفى السعودي الألماني بالقاهرة,شارع جوزيف تيتو، النزهة الجديدة، القاهرة,30.129038,31.382229,عام وتخصصي,16259,sghcairo.com
مستشفى دار الفؤاد بمدينة نصر,تقاطع طريق النصر مع شارع يوسف عباس، مدينة نصر، القاهرة,30.040618,31.368318,عام وتخصصي (قلب),16370,daralfouad.org
مستشفى وادي النيل,شارع وادي النيل، حدائق القبة، القاهرة,30.099609,31.294967,عام وتخصصي,16223,غير متوفر
المركز الطبي للمقاولون العرب,منطقة الجبل الأخضر، طريق النصر، مدينة نصر، القاهرة,30.055522,31.295128,عام وتخصصي,16315,arabcontmed.com
المستشفى الأنجلو أمريكان,شارع البرج، بجوار برج القاهرة، الزمالك، القاهرة,30.057467,31.233414,عام,02-27356158,angloamericanhospital.com
المستشفى الإيطالي بالقاهرة (أومبرتو الأول),17 شارع سرايات العباسية، الوايلي، القاهرة,30.112026,31.288043,عام,02-26821430,غير متوفر
المستشفى اليوناني بالقاهرة,شارع سرايات العباسية، القاهرة,30.103002,31.266017,عام,02-24823299,غير متوفر
مستشفى شفاء التخصصي بالتجمع,شارع التسعين الشمالي، التجمع الخامس، القاهرة الجديدة,30.021437,31.431597,عام,15077,shifahospital.com
مستشفى الجنزوري التخصصي,شارع محمود عزمي، كوبري القبة، مصر الجديدة، القاهرة,30.094501,31.327599,عام وتخصصي,02-24541334,elganzoury.com
مستشفى البيان التخصصي,شارع أحمد الزمر، الحي العاشر، مدينة نصر، القاهرة,30.047719,31.367647,عام,02-24707172,غير متوفر
مستشفى المواساة الخيري التخصصي,امتداد شارع عباس العقاد، الحي السابع، مدينة نصر، القاهرة,30.061876,31.337432,عام وخيري,02-22634455,غير متوفر
مستشفى البنفسج التخصصي,منطقة خدمات البنفسج، التجمع الأول، القاهرة الجديدة,30.064068,31.465464,عام,02-29200424,غير متوفر
